Industry,Sum of Productivity_Gain,Sum of Cost_Savings,Year,Sum of Jobs_Displaced
Healthcare,24.77,120.19,2015,819
Healthcare,11,81.85,2016,100
Healthcare,8.49,20.97,2017,760
Healthcare,8.63,103.38,2018,828
Healthcare,5.97,81.24,2019,746
Healthcare,9.42,188.18,2020,224
Healthcare,21.87,135.18,2021,350
Healthcare,24.53,84.74,2022,269
Healthcare,17.25,130.33,2023,559
Logistics,20.74,152.53,2015,743
Logistics,11.72,33.53,2016,826
Logistics,19.78,79.14,2017,676
Logistics,22.31,12.87,2018,543
Logistics,12.1,175.57,2019,900
Logistics,21.44,47.98,2020,39
Logistics,9.15,110.46,2021,717
Logistics,5.91,11.71,2022,210
Logistics,13.83,15.58,2023,94
Manufacturing,7.86,170.67,2015,293
Manufacturing,16.99,195.43,2016,366
Manufacturing,8.69,170.9,2017,812
Manufacturing,15.71,121.3,2018,935
Manufacturing,21.93,14.75,2019,64
Manufacturing,20.23,28.67,2020,179
Manufacturing,20.86,111.75,2021,753
Manufacturing,16.59,197.25,2022,961
Manufacturing,7.86,177.63,2023,262
